CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PoliceStationID,DistrictID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,IncidentFromDate,IncidentToDate,latitude,longitude,BriefFacts
15,100030013202612603,202612603,2026-02-14,13,3,1,2,4,3,2026-02-14 06:23:46,2026-02-14 06:23:46,12.773915,74.734258,House Burglary reported near Mangaluru PS-5 jurisdiction.
16,100080038202514702,202514702,2025-11-14,38,8,1,1,3,3,2025-11-14 05:11:34,2025-11-14 05:11:34,13.422012,77.129997,Attempt to Murder reported near Tumakuru PS-4 jurisdiction.
17,100030012202608824,202608824,2026-02-25,12,3,1,2,5,2,2026-02-25 00:16:21,2026-02-25 00:16:21,13.038004,74.808538,Vehicle Theft reported near Mangaluru PS-4 jurisdiction.
18,100010002202407156,202407156,2024-09-18,2,1,2,2,6,1,2024-09-18 23:17:11,2024-09-18 23:17:11,12.903944,77.683219,Chain Snatching reported near Bengaluru PS-2 jurisdiction.
19,100020006202505576,202505576,2025-09-13,6,2,1,3,8,1,2025-09-13 22:59:44,2025-09-13 22:59:44,12.318128,76.659403,Dowry Harassment reported near Mysuru PS-2 jurisdiction.
20,100100046202511326,202511326,2025-07-03,46,10,2,2,6,2,2025-07-03 20:38:12,2025-07-03 20:38:12,14.619811,76.042665,Chain Snatching reported near Davanagere PS-1 jurisdiction.
21,100030009202405775,202405775,2024-06-30,9,3,2,2,5,3,2024-06-30 01:14:00,2024-06-30 01:14:00,12.990821,74.693454,Vehicle Theft reported near Mangaluru PS-1 jurisdiction.
22,100050020202416641,202416641,2024-09-14,20,5,2,5,11,1,2024-09-14 00:54:14,2024-09-14 00:54:14,15.284513,75.048393,Drug Peddling reported near Hubballi-Dharwad PS-2 jurisdiction.
23,100090043202515752,202515752,2025-05-17,43,9,1,1,3,2,2025-05-17 06:18:01,2025-05-17 06:18:01,13.952142,75.664917,Attempt to Murder reported near Shivamogga PS-3 jurisdiction.
24,100010001202508111,202508111,2025-08-22,1,1,2,2,6,2,2025-08-22 22:58:44,2025-08-22 22:58:44,12.83544,77.526936,Chain Snatching reported near Bengaluru PS-1 jurisdiction.
25,100010004202506425,202506425,2025-06-17,4,1,2,2,6,1,2025-06-17 20:32:10,2025-06-17 20:32:10,12.830375,77.58707,Chain Snatching reported near Bengaluru PS-4 jurisdiction.
26,100020005202502492,202502492,2025-03-22,5,2,1,3,8,3,2025-03-22 20:38:21,2025-03-22 20:38:21,12.154366,76.539736,Dowry Harassment reported near Mysuru PS-1 jurisdiction.
27,100070033202407668,202407668,2024-05-10,33,7,1,6,13,2,2024-05-10 17:13:44,2024-05-10 17:13:44,15.087591,76.815803,Rioting reported near Ballari PS-4 jurisdiction.
28,100070033202402840,202402840,2024-11-20,33,7,2,6,13,1,2024-11-20 18:30:36,2024-11-20 18:30:36,15.079921,76.83611,Rioting reported near Ballari PS-4 jurisdiction.
29,100100049202614066,202614066,2026-03-24,49,10,1,4,9,4,2026-03-24 12:49:19,2026-03-24 12:49:19,14.414067,75.978632,Online Financial Fraud reported near Davanagere PS-4 jurisdiction.
30,100040015202517455,202517455,2025-07-17,15,4,2,2,6,3,2025-07-17 05:02:08,2025-07-17 05:02:08,15.936358,74.51863,Chain Snatching reported near Belagavi PS-1 jurisdiction.
31,100070031202516642,202516642,2025-12-13,31,7,2,2,4,2,2025-12-13 12:22:55,2025-12-13 12:22:55,15.209793,76.856671,House Burglary reported near Ballari PS-2 jurisdiction.
32,100030014202508150,202508150,2025-04-26,14,3,2,2,5,2,2025-04-26 03:26:35,2025-04-26 03:26:35,13.00323,74.880487,Vehicle Theft reported near Mangaluru PS-6 jurisdiction.
33,100030012202505462,202505462,2025-09-14,12,3,2,2,5,2,2025-09-14 01:56:50,2025-09-14 01:56:50,13.06715,74.797176,Vehicle Theft reported near Mangaluru PS-4 jurisdiction.
34,100010001202508661,202508661,2025-07-02,1,1,1,2,6,3,2025-07-02 23:01:30,2025-07-02 23:01:30,12.83876,77.509898,Chain Snatching reported near Bengaluru PS-1 jurisdiction.
35,100020007202617207,202617207,2026-05-25,7,2,2,2,5,2,2026-05-25 02:18:00,2026-05-25 02:18:00,12.370626,76.713975,Vehicle Theft reported near Mysuru PS-3 jurisdiction.
36,100010001202503092,202503092,2025-08-08,1,1,1,4,9,2,2025-08-08 17:22:30,2025-08-08 17:22:30,12.839419,77.514221,Online Financial Fraud reported near Bengaluru PS-1 jurisdiction.
37,100080039202514848,202514848,2025-07-15,39,8,2,2,4,3,2025-07-15 10:33:25,2025-07-15 10:33:25,13.401012,77.09393,House Burglary reported near Tumakuru PS-5 jurisdiction.
38,100010001202601704,202601704,2026-04-04,1,1,1,4,9,1,2026-04-04 13:02:35,2026-04-04 13:02:35,12.817975,77.539969,Online Financial Fraud reported near Bengaluru PS-1 jurisdiction.
39,100070033202505081,202505081,2025-04-19,33,7,2,6,13,2,2025-04-19 20:57:52,2025-04-19 20:57:52,15.087212,76.822455,Rioting reported near Ballari PS-4 jurisdiction.
40,100090043202515292,202515292,2025-05-31,43,9,1,1,2,3,2025-05-31 17:29:25,2025-05-31 17:29:25,13.983039,75.667494,Grievous Hurt reported near Shivamogga PS-3 jurisdiction.
41,100010001202408119,202408119,2024-04-16,1,1,1,4,9,2,2024-04-16 16:56:58,2024-04-16 16:56:58,12.833261,77.526739,Online Financial Fraud reported near Bengaluru PS-1 jurisdiction.
42,100010001202406573,202406573,2024-09-07,1,1,1,2,6,3,2024-09-07 21:13:40,2024-09-07 21:13:40,12.821746,77.543687,Chain Snatching reported near Bengaluru PS-1 jurisdiction.
43,100010002202408494,202408494,2024-06-26,2,1,1,4,9,3,2024-06-26 12:00:39,2024-06-26 12:00:39,12.899803,77.685119,Online Financial Fraud reported near Bengaluru PS-2 jurisdiction.
44,100030014202405506,202405506,2024-02-11,14,3,2,2,5,1,2024-02-11 04:55:49,2024-02-11 04:55:49,13.025473,74.881529,Vehicle Theft reported near Mangaluru PS-6 jurisdiction.
45,100010003202402553,202402553,2024-07-25,3,1,2,2,6,2,2024-07-25 23:19:08,2024-07-25 23:19:08,13.006291,77.706448,Chain Snatching reported near Bengaluru PS-3 jurisdiction.
46,100010004202401099,202401099,2024-01-12,4,1,2,4,9,3,2024-01-12 15:50:23,2024-01-12 15:50:23,12.836639,77.562521,Online Financial Fraud reported near Bengaluru PS-4 jurisdiction.
47,100060028202514858,202514858,2025-01-04,28,6,1,5,11,3,2025-01-04 06:16:56,2025-01-04 06:16:56,17.331318,76.761241,Drug Peddling reported near Kalaburagi PS-5 jurisdiction.
48,100010003202603935,202603935,2026-04-24,3,1,1,4,9,4,2026-04-24 11:44:35,2026-04-24 11:44:35,13.026308,77.710788,Online Financial Fraud reported near Bengaluru PS-3 jurisdiction.
49,100010002202502424,202502424,2025-03-24,2,1,2,2,6,1,2025-03-24 22:54:12,2025-03-24 22:54:12,12.880277,77.64818,Chain Snatching reported near Bengaluru PS-2 jurisdiction.
50,100050019202514134,202514134,2025-07-12,19,5,2,2,4,3,2025-07-12 11:14:23,2025-07-12 11:14:23,15.442753,74.999326,House Burglary reported near Hubballi-Dharwad PS-1 jurisdiction.
51,100030012202509611,202509611,2025-06-02,12,3,2,2,5,3,2025-06-02 00:25:37,2025-06-02 00:25:37,13.033352,74.815236,Vehicle Theft reported near Mangaluru PS-4 jurisdiction.
52,100060027202403546,202403546,2024-12-28,27,6,1,5,11,2,2024-12-28 22:41:03,2024-12-28 22:41:03,17.353362,76.769183,Drug Peddling reported near Kalaburagi PS-4 jurisdiction.
53,100060029202410942,202410942,2024-01-03,29,6,2,6,14,1,2024-01-03 21:05:20,2024-01-03 21:05:20,17.46509,76.885382,Public Nuisance reported near Kalaburagi PS-6 jurisdiction.
54,100070034202608368,202608368,2026-04-30,34,7,2,6,13,3,2026-04-30 21:17:11,2026-04-30 21:17:11,15.258859,77.023579,Rioting reported near Ballari PS-5 jurisdiction.
55,100020006202408649,202408649,2024-05-13,6,2,1,3,8,3,2024-05-13 21:07:58,2024-05-13 21:07:58,12.321003,76.656786,Dowry Harassment reported near Mysuru PS-2 jurisdiction.
56,100010002202407443,202407443,2024-04-22,2,1,2,2,6,3,2024-04-22 18:51:43,2024-04-22 18:51:43,12.886672,77.673416,Chain Snatching reported near Bengaluru PS-2 jurisdiction.
57,100060027202403854,202403854,2024-03-08,27,6,2,5,11,2,2024-03-08 20:23:30,2024-03-08 20:23:30,17.325986,76.761869,Drug Peddling reported near Kalaburagi PS-4 jurisdiction.
58,100010001202605724,202605724,2026-03-24,1,1,1,2,6,1,2026-03-24 23:11:38,2026-03-24 23:11:38,12.828996,77.512086,Chain Snatching reported near Bengaluru PS-1 jurisdiction.
59,100070031202514154,202514154,2025-02-03,31,7,1,5,12,2,2025-02-03 09:27:19,2025-02-03 09:27:19,15.217221,76.837451,Drug Possession reported near Ballari PS-2 jurisdiction.
60,100020007202513614,202513614,2025-10-24,7,2,2,4,9,4,2025-10-24 07:56:34,2025-10-24 07:56:34,12.3441,76.708661,Online Financial Fraud reported near Mysuru PS-3 jurisdiction.
61,100010004202613123,202613123,2026-06-05,4,1,1,2,4,1,2026-06-05 19:19:15,2026-06-05 19:19:15,12.828516,77.589166,House Burglary reported near Bengaluru PS-4 jurisdiction.
62,100070032202507886,202507886,2025-07-28,32,7,2,6,13,1,2025-07-28 17:29:27,2025-07-28 17:29:27,14.99231,76.884909,Rioting reported near Ballari PS-3 jurisdiction.
63,100010003202604923,202604923,2026-02-09,3,1,1,4,9,1,2026-02-09 13:49:33,2026-02-09 13:49:33,13.023186,77.731117,Online Financial Fraud reported near Bengaluru PS-3 jurisdiction.
64,100030009202510435,202510435,2025-09-07,9,3,1,6,14,2,2025-09-07 15:11:36,2025-09-07 15:11:36,13.024005,74.690475,Public Nuisance reported near Mangaluru PS-1 jurisdiction.
65,100020006202505927,202505927,2025-04-17,6,2,1,3,8,3,2025-04-17 21:15:04,2025-04-17 21:15:04,12.3456,76.640429,Dowry Harassment reported near Mysuru PS-2 jurisdiction.
66,100050019202513388,202513388,2025-04-30,19,5,2,2,4,1,2025-04-30 17:48:22,2025-04-30 17:48:22,15.424928,74.994158,House Burglary reported near Hubballi-Dharwad PS-1 jurisdiction.
67,100020005202409707,202409707,2024-10-31,5,2,1,3,8,1,2024-10-31 19:40:33,2024-10-31 19:40:33,12.154916,76.552999,Dowry Harassment reported near Mysuru PS-1 jurisdiction.
68,100010004202516427,202516427,2025-10-13,4,1,1,5,11,2,2025-10-13 11:05:49,2025-10-13 11:05:49,12.865497,77.582625,Drug Peddling reported near Bengaluru PS-4 jurisdiction.
69,100010004202601504,202601504,2026-06-06,4,1,1,2,6,2,2026-06-06 23:24:40,2026-06-06 23:24:40,12.83898,77.575819,Chain Snatching reported near Bengaluru PS-4 jurisdiction.
70,100060028202404668,202404668,2024-05-16,28,6,2,5,11,1,2024-05-16 23:10:27,2024-05-16 23:10:27,17.299563,76.75506,Drug Peddling reported near Kalaburagi PS-5 jurisdiction.
71,100070031202500164,202500164,2025-03-27,31,7,2,6,13,4,2025-03-27 17:18:35,2025-03-27 17:18:35,15.240413,76.823276,Rioting reported near Ballari PS-2 jurisdiction.
72,100010001202405643,202405643,2024-12-04,1,1,1,2,6,3,2024-12-04 22:21:22,2024-12-04 22:21:22,12.834956,77.513527,Chain Snatching reported near Bengaluru PS-1 jurisdiction.
73,100010003202409254,202409254,2024-01-15,3,1,2,4,9,1,2024-01-15 10:00:25,2024-01-15 10:00:25,13.015546,77.700925,Online Financial Fraud reported near Bengaluru PS-3 jurisdiction.
74,100030010202500749,202500749,2025-11-18,10,3,2,2,5,4,2025-11-18 03:00:18,2025-11-18 03:00:18,13.022237,74.911161,Vehicle Theft reported near Mangaluru PS-2 jurisdiction.
75,100030010202501546,202501546,2025-04-16,10,3,2,2,5,3,2025-04-16 04:17:30,2025-04-16 04:17:30,12.994955,74.914903,Vehicle Theft reported near Mangaluru PS-2 jurisdiction.
76,100020007202504763,202504763,2025-07-08,7,2,1,3,8,2,2025-07-08 21:46:42,2025-07-08 21:46:42,12.354079,76.706562,Dowry Harassment reported near Mysuru PS-3 jurisdiction.
77,100050023202410791,202410791,2024-04-15,23,5,2,4,10,2,2024-04-15 01:19:10,2024-04-15 01:19:10,15.418285,75.084344,Phishing / Identity Theft reported near Hubballi-Dharwad PS-5 jurisdiction.
78,100060027202613252,202613252,2026-02-12,27,6,2,4,10,3,2026-02-12 10:28:59,2026-02-12 10:28:59,17.358925,76.740984,Phishing / Identity Theft reported near Kalaburagi PS-4 jurisdiction.
79,100010004202608571,202608571,2026-06-01,4,1,1,2,6,1,2026-06-01 20:19:27,2026-06-01 20:19:27,12.843943,77.55359,Chain Snatching reported near Bengaluru PS-4 jurisdiction.
80,100030014202414048,202414048,2024-10-26,14,3,1,1,2,1,2024-10-26 23:18:58,2024-10-26 23:18:58,12.999265,74.893493,Grievous Hurt reported near Mangaluru PS-6 jurisdiction.
81,100010004202504833,202504833,2025-11-11,4,1,2,4,9,1,2025-11-11 16:48:54,2025-11-11 16:48:54,12.830757,77.579388,Online Financial Fraud reported near Bengaluru PS-4 jurisdiction.
82,100030010202617323,202617323,2026-02-01,10,3,1,1,2,2,2026-02-01 00:06:02,2026-02-01 00:06:02,13.017106,74.9258,Grievous Hurt reported near Mangaluru PS-2 jurisdiction.
83,100020005202513392,202513392,2025-01-28,5,2,2,5,12,2,2025-01-28 23:09:55,2025-01-28 23:09:55,12.173201,76.558368,Drug Possession reported near Mysuru PS-1 jurisdiction.
84,100010002202401208,202401208,2024-07-09,2,1,2,4,9,4,2024-07-09 15:46:44,2024-07-09 15:46:44,12.901218,77.65122,Online Financial Fraud reported near Bengaluru PS-2 jurisdiction.
85,100020006202507978,202507978,2025-04-20,6,2,1,3,8,1,2025-04-20 19:27:21,2025-04-20 19:27:21,12.312475,76.643404,Dowry Harassment reported near Mysuru PS-2 jurisdiction.
86,100010002202509600,202509600,2025-08-11,2,1,1,2,6,2,2025-08-11 22:09:40,2025-08-11 22:09:40,12.890653,77.673511,Chain Snatching reported near Bengaluru PS-2 jurisdiction.
87,100010001202501645,202501645,2025-08-09,1,1,2,4,9,1,2025-08-09 12:50:40,2025-08-09 12:50:40,12.825263,77.515826,Online Financial Fraud reported near Bengaluru PS-1 jurisdiction.
88,100070032202603883,202603883,2026-06-05,32,7,2,6,13,2,2026-06-05 18:59:28,2026-06-05 18:59:28,15.012668,76.864719,Rioting reported near Ballari PS-3 jurisdiction.
89,100060028202406561,202406561,2024-12-26,28,6,2,5,11,3,2024-12-26 22:44:45,2024-12-26 22:44:45,17.324247,76.783462,Drug Peddling reported near Kalaburagi PS-5 jurisdiction.
90,100090041202610295,202610295,2026-03-02,41,9,1,1,3,2,2026-03-02 12:36:53,2026-03-02 12:36:53,13.923947,75.448283,Attempt to Murder reported near Shivamogga PS-1 jurisdiction.
91,100060029202407358,202407358,2024-06-14,29,6,2,5,11,2,2024-06-14 22:03:22,2024-06-14 22:03:22,17.468526,76.904145,Drug Peddling reported near Kalaburagi PS-6 jurisdiction.
92,100010001202408380,202408380,2024-10-07,1,1,1,4,9,2,2024-10-07 14:45:07,2024-10-07 14:45:07,12.816083,77.512887,Online Financial Fraud reported near Bengaluru PS-1 jurisdiction.
93,100010004202407456,202407456,2024-11-26,4,1,1,4,9,1,2024-11-26 13:24:01,2024-11-26 13:24:01,12.841984,77.571527,Online Financial Fraud reported near Bengaluru PS-4 jurisdiction.
94,100030014202514394,202514394,2025-08-02,14,3,2,2,6,2,2025-08-02 21:29:00,2025-08-02 21:29:00,13.012816,74.874957,Chain Snatching reported near Mangaluru PS-6 jurisdiction.
95,100080039202417926,202417926,2024-06-21,39,8,1,1,1,1,2024-06-21 00:48:33,2024-06-21 00:48:33,13.424156,77.076429,Murder reported near Tumakuru PS-5 jurisdiction.
96,100040016202417769,202417769,2024-10-17,16,4,1,4,9,2,2024-10-17 09:56:19,2024-10-17 09:56:19,15.980772,74.447265,Online Financial Fraud reported near Belagavi PS-2 jurisdiction.
97,100030009202602114,202602114,2026-04-09,9,3,2,2,5,3,2026-04-09 03:38:29,2026-04-09 03:38:29,13.024944,74.712658,Vehicle Theft reported near Mangaluru PS-1 jurisdiction.
98,100060025202504958,202504958,2025-11-04,25,6,2,5,11,1,2025-11-04 23:03:07,2025-11-04 23:03:07,17.383513,76.871708,Drug Peddling reported near Kalaburagi PS-2 jurisdiction.
99,100010002202611087,202611087,2026-05-27,2,1,2,5,12,3,2026-05-27 07:56:13,2026-05-27 07:56:13,12.904568,77.64762,Drug Possession reported near Bengaluru PS-2 jurisdiction.
100,100030014202410690,202410690,2024-08-12,14,3,1,2,6,4,2024-08-12 22:41:20,2024-08-12 22:41:20,13.020899,74.8825,Chain Snatching reported near Mangaluru PS-6 jurisdiction.
101,100010003202501929,202501929,2025-09-21,3,1,2,2,6,1,2025-09-21 21:36:37,2025-09-21 21:36:37,13.041178,77.717847,Chain Snatching reported near Bengaluru PS-3 jurisdiction.
102,100010002202505313,202505313,2025-03-10,2,1,2,4,9,3,2025-03-10 16:00:14,2025-03-10 16:00:14,12.875822,77.685532,Online Financial Fraud reported near Bengaluru PS-2 jurisdiction.
103,100010003202609404,202609404,2026-01-09,3,1,2,2,6,1,2026-01-09 22:35:50,2026-01-09 22:35:50,13.01023,77.705791,Chain Snatching reported near Bengaluru PS-3 jurisdiction.
104,100010003202601314,202601314,2026-06-16,3,1,1,4,9,4,2026-06-16 16:37:46,2026-06-16 16:37:46,13.005752,77.712742,Online Financial Fraud reported near Bengaluru PS-3 jurisdiction.
105,100100046202415174,202415174,2024-08-10,46,10,1,5,11,1,2024-08-10 14:15:16,2024-08-10 14:15:16,14.616743,76.031087,Drug Peddling reported near Davanagere PS-1 jurisdiction.
106,100060026202403252,202403252,2024-04-24,26,6,2,5,11,2,2024-04-24 21:02:37,2024-04-24 21:02:37,17.185887,76.877288,Drug Peddling reported near Kalaburagi PS-3 jurisdiction.
107,100010002202403237,202403237,2024-04-26,2,1,2,2,6,4,2024-04-26 21:02:44,2024-04-26 21:02:44,12.904642,77.649263,Chain Snatching reported near Bengaluru PS-2 jurisdiction.
108,100060024202403143,202403143,2024-06-15,24,6,1,5,11,2,2024-06-15 21:45:16,2024-06-15 21:45:16,17.28751,76.904611,Drug Peddling reported near Kalaburagi PS-1 jurisdiction.
109,100010001202403107,202403107,2024-01-18,1,1,2,2,6,2,2024-01-18 20:36:27,2024-01-18 20:36:27,12.818319,77.533591,Chain Snatching reported near Bengaluru PS-1 jurisdiction.
110,100030014202517666,202517666,2025-12-18,14,3,2,2,5,1,2025-12-18 13:25:40,2025-12-18 13:25:40,13.031761,74.88835,Vehicle Theft reported near Mangaluru PS-6 jurisdiction.
111,100010004202400644,202400644,2024-09-18,4,1,1,2,6,4,2024-09-18 23:23:23,2024-09-18 23:23:23,12.849818,77.568723,Chain Snatching reported near Bengaluru PS-4 jurisdiction.
112,100040017202615541,202615541,2026-01-07,17,4,1,1,2,3,2026-01-07 12:02:28,2026-01-07 12:02:28,15.868993,74.614056,Grievous Hurt reported near Belagavi PS-3 jurisdiction.
113,100030012202603633,202603633,2026-06-06,12,3,2,2,5,2,2026-06-06 03:34:58,2026-06-06 03:34:58,13.031926,74.826068,Vehicle Theft reported near Mangaluru PS-4 jurisdiction.
114,100010001202408684,202408684,2024-11-01,1,1,1,2,6,1,2024-11-01 19:08:40,2024-11-01 19:08:40,12.815177,77.524028,Chain Snatching reported near Bengaluru PS-1 jurisdiction.
115,100010001202408693,202408693,2024-09-06,1,1,1,2,6,2,2024-09-06 20:57:17,2024-09-06 20:57:17,12.819734,77.537021,Chain Snatching reported near Bengaluru PS-1 jurisdiction.
116,100100046202615101,202615101,2026-01-25,46,10,1,1,2,2,2026-01-25 00:59:53,2026-01-25 00:59:53,14.585908,76.01994,Grievous Hurt reported near Davanagere PS-1 jurisdiction.
117,100050023202410978,202410978,2024-03-08,23,5,1,1,1,1,2024-03-08 09:51:40,2024-03-08 09:51:40,15.401592,75.094808,Murder reported near Hubballi-Dharwad PS-5 jurisdiction.
118,100030010202501843,202501843,2025-12-20,10,3,1,2,5,1,2025-12-20 03:42:13,2025-12-20 03:42:13,13.006381,74.932049,Vehicle Theft reported near Mangaluru PS-2 jurisdiction.
119,100030012202505966,202505966,2025-06-27,12,3,2,2,5,1,2025-06-27 00:33:22,2025-06-27 00:33:22,13.052726,74.818175,Vehicle Theft reported near Mangaluru PS-4 jurisdiction.
120,100010004202503371,202503371,2025-02-10,4,1,1,2,6,2,2025-02-10 18:44:11,2025-02-10 18:44:11,12.852793,77.575479,Chain Snatching reported near Bengaluru PS-4 jurisdiction.
121,100030011202506733,202506733,2025-10-01,11,3,2,2,5,2,2025-10-01 00:17:09,2025-10-01 00:17:09,12.861189,74.757039,Vehicle Theft reported near Mangaluru PS-3 jurisdiction.
122,100010002202512864,202512864,2025-12-24,2,1,1,1,1,2,2025-12-24 16:07:38,2025-12-24 16:07:38,12.881853,77.677551,Murder reported near Bengaluru PS-2 jurisdiction.
123,100030013202504495,202504495,2025-04-07,13,3,2,2,5,3,2025-04-07 01:51:18,2025-04-07 01:51:18,12.803275,74.74534,Vehicle Theft reported near Mangaluru PS-5 jurisdiction.
124,100060028202405602,202405602,2024-11-28,28,6,1,5,11,1,2024-11-28 21:48:22,2024-11-28 21:48:22,17.310753,76.772446,Drug Peddling reported near Kalaburagi PS-5 jurisdiction.
125,100010001202609888,202609888,2026-05-19,1,1,1,2,6,1,2026-05-19 18:39:25,2026-05-19 18:39:25,12.812247,77.521694,Chain Snatching reported near Bengaluru PS-1 jurisdiction.
126,100070031202403181,202403181,2024-04-27,31,7,2,6,13,1,2024-04-27 19:40:15,2024-04-27 19:40:15,15.228507,76.833005,Rioting reported near Ballari PS-2 jurisdiction.
127,100030012202414628,202414628,2024-01-23,12,3,1,3,7,2,2024-01-23 22:44:31,2024-01-23 22:44:31,13.063672,74.825189,Assault on Woman reported near Mangaluru PS-4 jurisdiction.
128,100060024202600210,202600210,2026-02-15,24,6,1,5,11,3,2026-02-15 23:41:17,2026-02-15 23:41:17,17.297656,76.887987,Drug Peddling reported near Kalaburagi PS-1 jurisdiction.
129,100070034202507427,202507427,2025-04-27,34,7,2,6,13,1,2025-04-27 19:45:11,2025-04-27 19:45:11,15.25303,77.023442,Rioting reported near Ballari PS-5 jurisdiction.
130,100060029202413749,202413749,2024-07-06,29,6,1,1,3,1,2024-07-06 01:59:12,2024-07-06 01:59:12,17.447294,76.891518,Attempt to Murder reported near Kalaburagi PS-6 jurisdiction.
131,100080036202514135,202514135,2025-11-26,36,8,1,2,4,2,2025-11-26 21:20:31,2025-11-26 21:20:31,13.465483,77.147866,House Burglary reported near Tumakuru PS-2 jurisdiction.
132,100060024202507521,202507521,2025-02-08,24,6,2,5,11,2,2025-02-08 20:42:13,2025-02-08 20:42:13,17.28624,76.887419,Drug Peddling reported near Kalaburagi PS-1 jurisdiction.
133,100010002202503042,202503042,2025-05-16,2,1,2,4,9,1,2025-05-16 11:53:19,2025-05-16 11:53:19,12.903039,77.661736,Online Financial Fraud reported near Bengaluru PS-2 jurisdiction.
134,100010003202509457,202509457,2025-12-14,3,1,1,2,6,2,2025-12-14 21:39:15,2025-12-14 21:39:15,13.027897,77.714415,Chain Snatching reported near Bengaluru PS-3 jurisdiction.
135,100020007202402182,202402182,2024-06-03,7,2,1,3,8,3,2024-06-03 20:10:01,2024-06-03 20:10:01,12.34475,76.680117,Dowry Harassment reported near Mysuru PS-3 jurisdiction.
136,100030010202408167,202408167,2024-10-21,10,3,1,2,5,2,2024-10-21 02:24:59,2024-10-21 02:24:59,12.990887,74.906135,Vehicle Theft reported near Mangaluru PS-2 jurisdiction.
137,100060024202509217,202509217,2025-12-26,24,6,2,5,11,2,2025-12-26 20:57:10,2025-12-26 20:57:10,17.296969,76.900946,Drug Peddling reported near Kalaburagi PS-1 jurisdiction.
138,100020006202501808,202501808,2025-01-29,6,2,1,3,8,2,2025-01-29 21:22:35,2025-01-29 21:22:35,12.308488,76.654965,Dowry Harassment reported near Mysuru PS-2 jurisdiction.
139,100010002202506671,202506671,2025-06-02,2,1,1,4,9,1,2025-06-02 12:54:36,2025-06-02 12:54:36,12.884782,77.66761,Online Financial Fraud reported near Bengaluru PS-2 jurisdiction.
140,100010003202401816,202401816,2024-08-13,3,1,1,2,6,4,2024-08-13 22:50:30,2024-08-13 22:50:30,13.019257,77.707618,Chain Snatching reported near Bengaluru PS-3 jurisdiction.
141,100070034202507032,202507032,2025-11-04,34,7,2,6,13,2,2025-11-04 19:43:19,2025-11-04 19:43:19,15.28523,77.042231,Rioting reported near Ballari PS-5 jurisdiction.
